time,open,high,low,close,Volume,Volume MA
2020-07-13T20:00:00Z,9227.09,9262,9211.27,9245.12,234.79246471,176.27391426350448
2020-07-13T21:00:00Z,9245.4,9266.15,9231.36,9249.14,81.63917418,174.64875870400448
2020-07-13T22:00:00Z,9247.37,9247.37,9210.61,9238.4,153.32491287,180.79216984100447
2020-07-13T23:00:00Z,9232.81,9247.37,9219.72,9233.1,48.50918154,181.44621208200448
2020-07-14T00:00:00Z,9234.19,9240.04,9211.62,9216,97.9364837,183.89374950950446
2020-07-14T01:00:00Z,9217,9242.75,9202.6,9231.63,81.45541929,185.23365654250446
2020-07-14T02:00:00Z,9231.74,9241.76,9216.25,9221.36,122.91776156,182.9071876045045
2020-07-14T03:00:00Z,9217.23,9229.26,9210.86,9214.28,158.86759395,180.26944152900447
2020-07-14T04:00:00Z,9210.71,9211.62,9142.12,9182.43,463.91287908,197.54090094100448
2020-07-14T05:00:00Z,9184.99,9193.86,9170.62,9179.33,115.43619965,198.9381903275045
2020-07-14T06:00:00Z,9179.75,9199.51,9177.76,9189.37,92.25600735,199.33646767250448
2020-07-14T07:00:00Z,9187.37,9193.41,9175.61,9177.86,99.47860849,198.8634982460045
2020-07-14T08:00:00Z,9182.64,9208.63,9175.42,9192.8,106.75637905,190.1610572070045
2020-07-14T09:00:00Z,9192.8,9202.6,9188,9193.65,191.71508993,190.1589947425045
2020-07-14T10:00:00Z,9197.93,9197.93,9167.76,9184.83,178.01436114,183.20202540050448
2020-07-14T11:00:00Z,9180.28,9233,9095,9225.23,586.12808816,195.24804042800446
2020-07-14T12:00:00Z,9230.5,9242.17,9200.4,9205,207.19781051,197.2514173280045
2020-07-14T13:00:00Z,9205.1,9223.55,9190,9204.81,284.8896089,199.56807819350448
2020-07-14T14:00:00Z,9199.63,9221.58,9183,9209.22,158.09397964,197.43176477500447
2020-07-14T15:00:00Z,9216.96,9239.67,9206.07,9222.71,105.35633611,178.43391699050446
2020-07-14T16:00:00Z,9227.07,9237.22,9205.65,9227.51,175.60134757,175.4743611335045
2020-07-14T17:00:00Z,9229.88,9273.01,9223.45,9250.62,112.65441669,177.0251232590045
2020-07-14T18:00:00Z,9247.95,9260.82,9237.5,9250,87.75593708,173.74667446950448
2020-07-14T19:00:00Z,9252.83,9271.33,9242.45,9270.26,97.89519135,176.21597496000447
2020-07-14T20:00:00Z,9270.76,9281.41,9258.96,9273.5,696.69470694,206.1538861220045
2020-07-14T21:00:00Z,9273.5,9282.08,9240.02,9246.32,112.1494585,207.68858808250448
2020-07-14T22:00:00Z,9246.32,9270.4,9241.08,9256.86,81.51983604,205.61869180650447
2020-07-14T23:00:00Z,9251.07,9274.72,9249.14,9251.59,65.22710501,200.93666735950447
2020-07-15T00:00:00Z,9256.33,9276.98,9254.82,9259.5,52.44672941,180.36335987600447
2020-07-15T01:00:00Z,9259.19,9267.07,9240,9247.61,63.91937089,177.78751843800447
2020-07-15T02:00:00Z,9248.15,9253.12,9237.29,9241.34,33.8505756,174.86724685050447
2020-07-15T03:00:00Z,9246.24,9252.97,9229.48,9232.46,52.92977677,172.53980526450445
2020-07-15T04:00:00Z,9231.97,9246.73,9222,9245.49,77.13489083,171.05873085350447
2020-07-15T05:00:00Z,9243,9248.46,9235.72,9239.92,68.68536578,164.90724464600447
2020-07-15T06:00:00Z,9241.01,9243.08,9227,9233.76,51.61759699,158.5874064385045
2020-07-15T07:00:00Z,9230.01,9237.36,9216.72,9227.85,174.31852655,137.99692835800448
2020-07-15T08:00:00Z,9227.5,9229.9,9196.99,9210.57,419.9242939,148.63325252750448
2020-07-15T09:00:00Z,9210.52,9221.97,9185.26,9215.15,567.86548904,162.78204653450447
2020-07-15T10:00:00Z,9219.84,9247.1,9210.5,9236.46,202.1959579,164.98714544750447
2020-07-15T11:00:00Z,9236.46,9246.43,9211.65,9213.7,221.18541122,170.7785992030045
2020-07-15T12:00:00Z,9211.81,9245.59,9210.55,9235.77,119.79641324,167.98835248650448
2020-07-15T13:00:00Z,9236.01,9241.84,9213.52,9225.82,49.71779116,164.8415212100045
2020-07-15T14:00:00Z,9220.79,9239,9215.21,9238.99,107.21692911,165.8145708115045
2020-07-15T15:00:00Z,9238.99,9247.27,9188.48,9195.07,342.26890645,178.0332565665045
2020-07-15T16:00:00Z,9194.77,9209.82,9175.73,9198.92,249.95548704,155.69629557150452
2020-07-15T17:00:00Z,9200.54,9216.76,9194.68,9195.98,127.50479203,156.4640622480045
2020-07-15T18:00:00Z,9198.33,9209.9,9153.38,9181.12,205.35579195,162.6558600435045
2020-07-15T19:00:00Z,9175.17,9187.52,9159.05,9175.83,185.57758946,168.67338426600452
2020-07-15T20:00:00Z,9175.17,9215.95,9169.08,9215.88,98.42734638,170.9724151145045
