time,open,high,low,close,Volume,Volume MA
2016-01-08T20:00:00Z,98.541,98.554,98.368,98.377,NaN,NaN
2016-01-11T00:00:00Z,98.294,98.492,98.252,98.45,NaN,NaN
2016-01-11T04:00:00Z,98.453,98.554,98.307,98.524,NaN,NaN
2016-01-11T08:00:00Z,98.52,98.7,98.446,98.504,NaN,NaN
2016-01-11T12:00:00Z,98.496,98.831,98.432,98.828,NaN,NaN
2016-01-11T16:00:00Z,98.835,98.845,98.547,98.725,NaN,NaN
2016-01-11T20:00:00Z,98.724,98.895,98.676,98.816,NaN,NaN
2016-01-12T00:00:00Z,98.797,98.949,98.672,98.699,NaN,NaN
2016-01-12T04:00:00Z,98.701,98.759,98.573,98.643,NaN,NaN
2016-01-12T08:00:00Z,98.64,99.018,98.589,98.932,NaN,NaN
2016-01-12T12:00:00Z,98.933,99.264,98.893,99.246,NaN,NaN
2016-01-12T16:00:00Z,99.238,99.276,98.817,98.974,NaN,NaN
2016-01-12T20:00:00Z,98.976,99.04,98.912,99.019,NaN,NaN
2016-01-13T00:00:00Z,99.032,99.231,99.032,99.178,NaN,NaN
2016-01-13T04:00:00Z,99.18,99.255,99.101,99.243,NaN,NaN
2016-01-13T08:00:00Z,99.239,99.293,99.133,99.241,NaN,NaN
2016-01-13T12:00:00Z,99.238,99.333,98.882,99.116,NaN,NaN
2016-01-13T16:00:00Z,99.111,99.128,98.891,98.933,NaN,NaN
2016-01-13T20:00:00Z,98.926,98.986,98.861,98.886,NaN,NaN
2016-01-14T00:00:00Z,98.818,98.957,98.804,98.901,NaN,NaN
2016-01-14T04:00:00Z,98.904,99.133,98.815,99.097,NaN,NaN
2016-01-14T08:00:00Z,99.098,99.118,98.59,98.676,NaN,NaN
2016-01-14T12:00:00Z,98.672,99.247,98.629,99.234,NaN,NaN
2016-01-14T16:00:00Z,99.217,99.257,99.042,99.089,NaN,NaN
2016-01-14T20:00:00Z,99.09,99.131,99.001,99.07,NaN,NaN
2016-01-15T00:00:00Z,99.099,99.114,98.937,98.961,NaN,NaN
2016-01-15T04:00:00Z,98.96,99.121,98.892,99.081,NaN,NaN
2016-01-15T08:00:00Z,99.086,99.12,98.838,98.922,NaN,NaN
2016-01-15T12:00:00Z,98.926,98.943,98.378,98.64,NaN,NaN
2016-01-15T16:00:00Z,98.65,98.967,98.448,98.956,NaN,NaN
2016-01-15T20:00:00Z,98.961,98.971,98.828,98.945,NaN,NaN
2016-01-18T00:00:00Z,98.926,99.089,98.884,99.045,NaN,NaN
2016-01-18T04:00:00Z,99.046,99.174,98.973,99.051,NaN,NaN
2016-01-18T08:00:00Z,99.056,99.128,98.931,99.025,NaN,NaN
2016-01-18T12:00:00Z,99.026,99.199,98.989,99.194,NaN,NaN
